Date,Location,Time Started,Time Restored,Cause
08/012023,Pacdal,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Mines View Park,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Gibraltar,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Pucsusan,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Lualhati,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Outlook Drive,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/012023,Lucnab,1:13 AM,1:57 AM,To facilitate correction of cut lineside of cut-out of Busol
08/022023,Outlook Drive,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,South Drive,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Country Club Village,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Happy Hollow,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Apugan-Loakan,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Scout Barrio,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Loakan Proper,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Liwanag-Loakan,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Atok Trail,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Camp 7,1:02 PM,2:41 PM,Leaked Insulator at South Drive
08/022023,Irisan,n/a,n/a,Correction of entangled primary lines
08/022023,Guisad Central,n/a,n/a,n/a
08/022023,Pinsao Pilot Project,n/a,n/a,n/a
08/022023,Pinsao Proper,n/a,n/a,n/a
08/022023,Pinget,n/a,n/a,n/a
08/032023,Lower Magsaysay,4:15 PM,4:49 PM,n/a
08/032023,South Sanitary Camp,4:15 PM,4:49 PM,n/a
08/032023,Camdas Subdivision,4:15 PM,4:49 PM,n/a
08/032023,Quirino Hill,4:15 PM,4:49 PM,n/a
08/032023,Dizon Subdivision,4:15 PM,4:49 PM,n/a
08/032023,Pinget,4:15 PM,4:49 PM,n/a
08/032023,Magsaysay Private Road,4:15 PM,4:49 PM,n/a
08/032023,Slaughter House Area (Sto. Niño Slaughter),4:15 PM,4:49 PM,n/a
08/032023,Padre Burgos,4:15 PM,4:49 PM,n/a
08/032023,Padre Zamora,4:15 PM,4:49 PM,n/a
08/032023,Kayang-Hilltop,4:15 PM,4:49 PM,n/a
08/032023,Abanao-Zandueta-Kayong-Chugum-Otek (AZKCO),4:15 PM,4:49 PM,n/a
08/032023,Rizal Monument Area,4:15 PM,4:49 PM,n/a
08/032023,San Luis Village,4:15 PM,4:49 PM,n/a
08/032023,Dominican Hill-Mirador,4:15 PM,4:49 PM,n/a
08/032023,Lower Lourdes Subdivision,4:15 PM,4:49 PM,n/a
08/032023,MRR-Queen of Peace,4:15 PM,4:49 PM,n/a
08/032023,North Sanitary Camp,4:53 PM,9:20 PM,Collapsed Tree on Secondary Line
08/032023,Loakan Proper,5:01 PM,6:36 PM,n/a
08/032023,Camp 7,5:01 PM,6:36 PM,n/a
08/032023,Padre Zamora,8:22 PM,11:23 PM,Cut lineside jumper of transformer fuse
08/032023,Bakakeng Central,9:33 PM,10:36 PM,To facilitate replacement of busted transformer along Sto. Nino Subdivision
08/042023,Country Club Village,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,MRR-Queen of Peace,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Campo Filipino,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Fairview Village,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Quezon Hill Proper,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Lower Lourdes Subdivision,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Dominican Hill-Mirador,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,San Roque Village,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,San Luis Village,1:16 AM,2:32 AM,To facilitate correction of cut lineside jumper of Sectionalizer supplying Queen of Peace.
08/042023,Proper Lourdes Subdivision,11:55 AM,2:32 AM,Emergency Power Interruption
08/052023,Sto. Tomas Proper,11:55 AM,2:32 AM,Emergency Power Interruption
08/052023,Dontogan,11:55 AM,2:32 AM,Emergency Power Interruption
08/052023,Sto. Tomas School Area,11:55 AM,11:55 AM,Emergency Power Interruption
08/052023,Scout Barrio,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Loakan Proper,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Liwanag-Loakan,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Apugan-Loakan,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Atok Trail,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Camp 7,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Kias,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Fort Del Pilar,11:55 AM,9:59 PM,Fallen tree branch on Primary line
08/052023,Quezon Hill,9:30 PM,11:29 PM,Corrected cut transformer jumper.
08/052023,Victoria Village,9:30 PM,11:29 PM,Corrected cut transformer jumper.
08/062023,Atok Trail,11:03 AM,12:29 PM,To facilitate correction of burning conductor loop at Structure 23.
08/062023,Kias,11:03 AM,12:29 PM,To facilitate correction of burning conductor loop at Structure 23.
08/062023,Fort del Pilar,11:03 AM,12:29 PM,To facilitate correction of burning conductor loop at Structure 23.
08/062023,Camp 7,11:21 AM,1:01 PM,Cut tree branch hit primary line
08/062023,Lualhati,1:20 PM,2:18 PM,Cut tree branch hit primary line
08/062023,Outlook Drive,1:20 PM,2:18 PM,Cut tree branch hit primary line
08/062023,Bakakeng Central,n/a,n/a,n/a
08/072023,Irisan,n/a,n/a,n/a
08/082023,Victoria Village,7:22 PM,7:44 PM,To facilitate massive line clearing
08/082023,San Luis Village,7:22 PM,7:44 PM,To facilitate massive line clearing
08/082023,Irisan,7:22 PM,7:44 PM,To facilitate massive line clearing.
08/092023,Victoria Village,1:00 AM,1:13 AM,To facilitate massive line clearing.
08/092023,San Luis Village,1:00 AM,1:13 AM,To facilitate massive line clearing.
08/092023,Irisan,1:00 AM,1:13 AM,To facilitate massive line clearing.
08/092023,Outlook Drive,n/a,n/a,n/a
08/092023,Pinget,n/a,n/a,For further evaluation due to Leaking oil of transformer.
08/102023,St. Joseph Village,n/a,n/a,To facilitate replacement of collapsed secondary pole.
08/102023,Pinsao Proper,n/a,n/a,To facilitate replacement of collapsed secondary poles.
08/112023,Aurora Hill Proper (Malvar-Sgt. Floresca),8:23 AM,10:13 AM,n/a
08/112023,Brookspoint,8:23 AM,10:13 AM,n/a
08/112023,Ambiong,8:23 AM,10:13 AM,n/a
08/112023,Happy Hollow,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Apugan-Loakan,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Scout Barrio,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Loakan Proper,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023, Liwanag-Loakan,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Atok Trail,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Camp 7,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Kias,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Fort Del Plar,6:57 PM,9:05 PM,Burnt transformer jumper at Loakan and replacement of busted fuse at Camp John Hay.
08/112023,Happy Hollow,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Apugan-Loakan,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Scout Barrio,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Loakan Proper,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Liwanag-Loakan,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Atok Trail,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Camp 7,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Kias,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/112023,Fort Del Plar,9:05 PM,10:21 PM,Correction of cut primary jumper near La Fayette.
08/122023,Scout Barrio,6:38 AM,11:33 AM,n/a
08/122023,Loakan Proper,6:38 AM,11:33 AM,n/a
08/122023,Liwanag-Loakan,6:38 AM,11:33 AM,n/a
08/122023,Apugan-Loakan,6:38 AM,11:33 AM,n/a
08/122023,Atok Trail,6:38 AM,11:33 AM,n/a
08/122023,Camp 7,6:38 AM,11:33 AM,n/a
08/122023,Kias,6:38 AM,11:33 AM,n/a
08/122023,Fort Del Pilar,6:38 AM,11:33 AM,n/a
08/122023,Mines View Park,10:49 AM,12:18 PM,To facilitate correction of cut secondary line and line clearing.
08/122023,Outlook Drive,10:49 AM,12:18 PM,To facilitate correction of cut secondary line and line clearing.
08/122023,Pucsusan,10:49 AM,12:18 PM,To facilitate correction of cut secondary line and line clearing.
08/122023,Loakan Proper,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Liwanag-Loakan,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Apugan-Loakan,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Atok Trail,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Camp 7,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Kias,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Fort Del Pilar,n/a,n/a,Ongoing line patrol to determine the cause of the power outage.
08/122023,Camp 7,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,Loakan Proper,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,Liwanag-Loakan,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,Apugan-Loakan,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,PMA,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,Kias,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/122023,Atok Trail,n/a,n/a,To facilitate load diversion from Feeder 12 to F14.
08/132023,Bakakeng North,9:09 AM,10:08 AM,Electrocuted Bird
08/152023,Sto. Tomas Proper,11:19 AM,4:08 PM,To facilitate relocation of leaning pole.
08/152023,Bakakeng Central,10:16 AM,10:16 AM,To facilitate line clearing.
08/152023,Sto. Rosario,7:04 PM,8:29 PM,Cut secondary loop jumper of transformer.
08/162023,Irisan,n/a,n/a,To facilitate replacement of defective LA and jumpers.
08/172023,SLU-SVP Housing Village,4:48 PM,n/a,Ongoing replacement of damaged insulator.
08/172023,Bakakeng North,4:48 PM,n/a,Ongoing replacement of damaged insulator.
08/172023,Asin Road,2:08 PM,2:57 PM,n/a
08/172023,Irisan,2:08 PM,2:57 PM,n/a
08/172023,San Luis Village,2:08 PM,2:57 PM,n/a
08/172023,Victoria Village,2:08 PM,2:57 PM,n/a
08/172023,Middle Quezon Hill Subdivision (Quezon Hill Middle),2:08 PM,2:57 PM,n/a
08/172023,Scout Barrio,1:02 PM,1:59 PM,To facilitate replacement of overloaded DT. 
08/182023,Irisan,2:07 AM,3:02 AM,To facilitate correction of cut primary jumper of transformer.
08/202023,Kias,1:25 AM,1:55 AM,n/a
08/212023,MRR-Queen of Peace,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Quezon Hill Proper,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Lower Lourdes Subdivision,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Proper Lourdes Subdivision,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Lourdes Subdivision Extension,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,San Roque Village,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Middle Rock Quarry,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,Upper Rock Quarry,10:07 PM,10:42 PM,To facilitate isolation of DS supplying Shangrila and correction of cut primary jumper of sectionalizer
08/212023,San Luis Village,7:03 PM,10:42 PM,Re-tapped cut primary jumper supplying Shangrila.
08/222023,Holy Ghost Proper,6:56 PM,7:48 PM,Burnt secondary jumper.
08/222023,Upper General Luna,6:56 PM,7:48 PM,Burnt secondary jumper.
08/222023,Irisan,6:39 PM,8:22 PM,Cut loop jumper of transformer.
08/222023,St. Joseph Village,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Holy Ghost Extension,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Manuel A. Roxas,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Cabinet Hill-Teacher's Camp,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Upper General Luna,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Salud Mitra,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,Engineers' Hill,10:00 AM,10:52 AM,Facilitated replacement of defective Fuse cut-out and broken insulator.
08/222023,St. Joseph Village,6:53 AM,10:52 AM,Fuse cut-out and broken insulator.
08/232023,Camp 7,4:25 PM,n/a,Endorsed for line inspection to determine the cause of the outage.
08/232023,Irisan,4:39 PM,n/a,Endorsed for line inspection to determine the cause of the outage.
08/242023,Asin Road,1:03 PM,n/a,For line inspection to determine the cause.
08/242023,Irisan,1:03 PM,n/a,For line inspection to determine the cause.
08/242023,San Luis Village,1:03 PM,n/a,For line inspection to determine the cause.
